Mine,State,Period,start_year,era,grade_Au,Mt_ore
Lachlan,NSW,1875-1959@,1875,1851-1880,7.473,0.4268
Southern,NSW,1875-1958@,1875,1851-1880,0.474,1.8186
Tumut-Adelong,NSW,1875-1962@,1875,1851-1880,0.4492,2.5993
Peel-Uralla,NSW,1875-1962@,1875,1851-1880,0.3726,1.4574
Clarence-Richmond,NSW,1875-1960@,1875,1851-1880,4.1458,0.0167
Hunter-Macleay,NSW,1879-1954@,1879,1851-1880,2.7583,0.0064
New England,NSW,1884-1968@,1884,1881-1910,0.8663,0.031
Albert,NSW,1883-1937@,1883,1881-1910,1.1391,0.2468
Cobar,NSW,1888-1958@,1888,1881-1910,173.7167,0.0011
Pine Creek,NT,1872-1970@,1872,1851-1880,28.1397,0.6679
Arltunga,NT,1890-1962@,1890,1881-1910,23.3152,0.0037
White Range,NT,1898-1984@,1898,1881-1910,42.9108,0.009
Winnecke,NT,1903-1906,1903,1881-1910,42.1771,0.0007
Tennant Creek,NT,1933-1955,1933,1911-1940,18.1987,0.3054
The Granites,NT,1948-1959@,1948,1941-1970,189.1957,0.0006
